Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Malawi,9.48915215,6.88935424,9.01049773,10.84952553,13.32823192,16.43313902,12.3991649,16.41729312,27.0999069,35.74651708,39.11815903,43.16536034,36.7752431,36.16505435,42.16695706,39.33877066
Malaysia,129.28003316,143.71495064,137.10714712,139.19693664,151.45664211,165.91919105,197.88833807,206.62313849,260.95819093,240.58778641,213.90545966,270.6099329,276.89038223,294.05017499,350.27780941,355.91515048
Maldives,76.12021738,81.41328407,88.36241674,96.00964003,108.75428653,127.1777255,125.45065624,131.31602318,168.22833723,204.94604173,273.5900806,324.46917252,333.87699215,431.12966072,277.4356058,280.68601559
Mali,16.53471932,18.54841641,16.46387274,14.99582064,13.66437445,15.26167005,24.66492153,18.60517828,21.80765872,26.31060803,25.58802989,27.61336441,27.06866078,26.11549645,26.8415593,25.88760896
Malta,591.91447795,611.49527389,695.50586775,739.59448111,767.29564024,904.29668104,915.48316505,1091.38728618,1154.01074503,1208.02734058,1350.22297862,1426.11350954,1360.01727552,1359.94616213,1387.04404189,1480.72963954
Marshall Islands,269.10872684,336.14683914,345.11467885,237.96387288,228.51679606,292.54799118,260.69457938,256.23167275,235.58963511,259.83394511,257.06835182,284.31682992,309.86720045,279.17088235,328.77046556,313.86366075
Martinique,,,,,,,,,,,,,,,,
Mauritania,32.45352147,22.49007043,23.24255171,33.51474518,48.79370911,48.36299022,36.6675762,49.24958264,44.38048923,53.23640772,47.84883951,44.34199667,48.96609622,48.62835576,41.64484402,41.95678539
Mauritius,116.08558532,118.67274807,126.94728196,138.30960893,137.43194799,158.58189324,167.5634783,187.22465793,196.91429923,227.63917278,222.5595257,226.64016769,216.88697921,221.1899373,265.17686632,334.73956575
Mayotte,,,,,,,,,,,,,,,,
Mexico,162.59091717,153.16613016,181.86317413,199.7649428,224.72121779,236.73643943,247.32681386,255.9164674,277.79361377,310.8906784,328.95175798,351.01039236,382.07493685,418.407179,444.80659406,
"Micronesia, Fed. Sts.",212.3107794,195.65990058,169.25907295,158.42223267,179.98181877,199.83303179,226.51950032,212.29115362,265.33022539,286.9238555,345.37831105,345.66718128,349.23550671,363.48989746,384.29104365,410.86006942
Moldova,73.99819049,82.96074201,78.49800078,55.4957588,35.69530542,47.43924003,51.24749824,70.87783167,75.99141873,88.71015971,98.64369044,120.89189324,134.06834499,162.04996839,173.0494897,165.04522017
Monaco,2012.45510467,1993.36028221,2171.06783708,2181.09421218,2438.09270154,2459.01448736,2601.85804926,2702.74209018,3264.81477806,3535.32644952,3689.2625435,3810.79954622,3941.78128596,4775.0355038,5219.04449534,5238.14947611
Mongolia,40.18114758,51.34796552,54.43244207,58.62590905,63.69001237,73.58050383,78.05954416,81.40417378,78.94588107,85.93709172,75.94839015,80.99371917,106.3010204,124.89835362,118.75900739,119.83755223
Montenegro,312.18078498,296.95680444,305.27086716,325.90118781,302.28874287,327.58292627,389.6980288,399.49161343,474.73869846,477.16581168,496.66336852,579.26926987,664.7020392,771.94784091,866.1935342,776.01345984
